Trial,40K I series,40K V series,40K V resistor,40K power,40K temp,4K I series,4K V series,4K V resistor,4K power,4K temp,Date
151,0.138871817,7.0965632,6.9121546,0.959903472,60.9748,0.137189137,7.11339,6.7501016,0.926040616,5.2194,11:17.7
152,0.138860297,7.0966784,6.911307,0.959706146,60.7752,0.1937108,10.062892,9.5505604,1.850046696,6.7084,16:32.7
153,0.138847997,7.0968014,6.9106708,0.959532801,60.6174,0.236299086,12.3339476,11.7060094,2.766119318,8.065,21:47.7
154,0.138839217,7.0968892,6.9101846,0.959404622,60.659,0.272802315,14.2425396,13.5170362,3.687478765,8.962,27:02.9
155,0.138830617,7.0969752,6.9097838,0.959289551,60.8524,0.305195556,15.9217104,15.1095998,4.611382713,9.81,32:18.0
156,0.138808437,7.097197,6.909501,0.959097037,61.1092,0.333895069,17.445659,16.5531222,5.527005881,10.7084,37:33.2
157,0.19629882,10.0370118,9.7797012,1.919743806,62.0542,-0.00089546,0.0089546,0.0054856,-4.91E-06,3.854,57:50.2
158,0.1962825,10.037175,9.778194,1.919288364,61.9226,0.097696,5.02304,4.7641738,0.465440724,4.5462,03:05.2
159,0.19628476,10.0371524,9.7782138,1.919314349,61.784,0.346226377,5.0230176,4.764181,1.649485129,4.5242,08:20.7
160,0.19625732,10.0374268,9.7768674,1.918781794,61.5856,0.19370088,10.0629912,9.5501306,1.849868701,6.6358,13:35.6
161,0.19625218,10.0374782,9.7762034,1.918601229,61.3804,0.236276366,12.3341748,11.7056012,2.76575691,8.0672,18:52.0
162,0.1962449,10.037551,9.7756908,1.918429463,61.4342,0.272777975,14.242783,13.5167518,3.687072183,8.9228,24:05.8
163,0.19623712,10.0376288,9.7752052,1.918258116,61.619,0.305200916,15.9216568,15.109174,4.611333746,9.7382,29:20.4
164,0.19623402,10.0376598,9.7747886,1.918146062,61.8852,0.333868109,17.4459286,16.5529612,5.526505856,10.6186,34:34.4
165,0.465893066,10.0380078,9.7751232,4.554162115,63.4906,-1.7447058,17.447058,16.5491346,-28.87337112,12.2748,54:52.0
166,0.239515446,12.301784,11.9848526,2.870557312,63.9844,0.09750202,5.0249798,4.7619108,0.464295922,7.246,00:06.6
167,0.239430026,12.3026382,11.9849358,2.869553486,64.254,0.137085917,7.1144222,6.7466616,0.924872295,6.3502,05:22.2
168,0.239404966,12.3028888,11.9843308,2.869108304,64.1736,0.19363098,10.0636902,9.5474556,1.848683184,7.1724,10:36.8
169,0.239390866,12.3030298,11.983727,2.86879478,63.9446,0.236219646,12.334742,11.703426,2.764579143,8.2834,15:52.3
170,0.239381246,12.303126,11.9831226,2.868534815,63.8326,0.272713415,14.2434286,13.5146196,3.685618061,9.099,21:06.9
171,0.239379106,12.3031474,11.9826346,2.868392354,63.8436,0.305113116,15.9225348,15.1073668,4.60945576,9.9684,26:22.5
172,0.239361366,12.3033248,11.9823736,2.868117309,63.969,0.333850529,17.4461044,16.552346,5.52600947,11.0384,31:37.1
173,0.277675135,14.1938114,13.8297012,3.840164146,64.5884,-0.0009214,0.009214,0.0044438,-4.09E-06,3.9432,51:54.2
174,0.277648495,14.1940778,13.8283112,3.839409791,64.405,0.09767092,5.0232908,4.7629654,0.465203213,4.5938,57:09.5
175,0.277655595,14.1940068,13.8277122,3.839341656,64.185,0.137130897,7.1139724,6.7484812,0.925425283,5.2702,02:24.7
176,0.277628135,14.1942814,13.8269476,3.838749673,63.9426,0.19365556,10.0634444,9.548843,1.849186539,6.7748,07:39.9
177,0.277632915,14.1942336,13.8268558,3.838790279,63.7996,0.463336966,10.0635688,9.5486932,4.424262533,6.8116,12:55.1
178,0.277598415,14.1945786,13.8259324,3.838056918,63.7084,0.272749675,14.243066,13.5160006,3.686484769,8.938,18:10.3
179,0.277589215,14.1946706,13.825544,3.837821904,63.827,0.305147136,15.9221946,15.1089008,4.610437809,9.8144,23:26.1
180,1.696985915,0.0007036,0.0007754,0.001315843,63.9964,2.078309009,0.0015196,0.0014346,0.002981542,5.1206,28:41.5
181,0.310546836,15.8681976,15.4607968,4.80130153,64.322,-0.00092748,0.0092748,0.0041334,-3.83E-06,3.6402,48:58.2
182,0.310512376,15.8685422,15.4595112,4.800369556,64.2892,0.0976728,5.023272,4.762652,0.465181556,4.5042,54:13.8
183,1.897302416,0.0006418,0.0007856,0.001490521,64.0412,0.848372897,0.0015524,0.001568,0.001330249,3.5668,59:29.2
184,0.310664816,15.8670178,15.456656,4.801839194,63.6116,0.19366696,10.0633304,9.5482614,1.849182759,6.568,04:44.2
185,0.310510196,15.868564,15.4572696,4.799639815,63.4928,0.236237706,12.3345614,11.7037456,2.764866008,8.0586,09:58.1
186,0.310472296,15.868943,15.4570992,4.79900108,63.6574,0.272714755,14.2434152,13.515313,3.685825271,8.9338,15:12.9
187,0.310458456,15.8690814,15.4566994,4.798663032,63.986,0.305121816,15.9224478,15.1083514,4.609887617,9.7962,20:27.5
188,0.310430396,15.869362,15.456446,4.798150654,64.353,0.333840049,17.4462092,16.553599,5.526254303,10.7418,25:42.4
189,0.339483949,17.3897702,16.9429756,5.751868266,65.5362,-0.00093716,0.0093716,0.0037848,-3.55E-06,3.8918,45:59.2
190,0.339445869,17.390151,16.9417188,5.750796462,65.4756,0.09766198,5.0233802,4.7626978,0.465134497,4.5852,51:14.0
191,2.078402089,0.0005888,0.0007226,0.001501853,65.1862,0.848375037,0.001531,0.0015694,0.00133144,3.6596,56:28.8
192,0.339579209,17.3888176,16.9391196,5.752172836,64.6814,0.19366684,10.0633316,9.5488986,1.849305017,6.6556,01:44.2
193,0.339454429,17.3900654,16.939326,5.750129236,64.5318,0.236256466,12.3343738,11.704503,2.765264511,8.0932,06:58.9
194,0.339436289,17.3902468,16.9389592,5.749697452,64.6796,0.272742255,14.2431402,13.5159522,3.686371279,8.9864,12:13.9
195,0.339430729,17.3903024,16.9386234,5.74948929,65.2394,0.305168936,15.9219766,15.1087496,4.610721041,9.8516,17:28.7
196,0.339430769,17.390302,16.938221,5.749353381,65.306,0.333892669,17.445683,16.5535368,5.527104585,10.8332,22:43.9
197,-0.00029649,0.0029649,0.0029902,-8.87E-07,59.0066,-0.000812276,0.00812276,0.00794394,-6.45E-06,3.487,09:15.2
198,-0.000297328,0.00297328,0.0030008,-8.92E-07,58.9652,0.0970568,5.029432,4.778218,0.463758549,4.4636,14:45.7
199,-0.000291018,0.00291018,0.00294024,-8.56E-07,58.9192,0.136187797,7.1234034,6.768773,0.921824286,5.1558,20:16.2
200,-0.000292234,0.00292234,0.00295022,-8.62E-07,58.8282,0.19237376,10.0762624,9.5754138,1.842058356,6.667,25:46.2
201,-0.000292206,0.00292206,0.0029556,-8.64E-07,58.7758,0.234706666,12.3498718,11.7358294,2.754477387,8.1282,31:15.0
202,-0.00028966,0.0028966,0.0029358,-8.50E-07,58.927,0.270984975,14.260713,13.5509872,3.672113926,9.0112,36:44.0
203,-0.00028626,0.0028626,0.00289666,-8.29E-07,59.2696,0.303274576,15.9409202,15.146553,4.59356444,9.8956,42:14.0
204,-0.000288246,0.00288246,0.00291786,-8.41E-07,59.6802,0.331955069,17.465059,16.5935458,5.508311642,10.8592,47:44.0
205,0.0995861,5.004139,4.863132,0.48430035,60.3284,-0.00081528,0.0081528,0.0078624,-6.41E-06,3.6002,21:35.2
206,0.09959308,5.0040692,4.8630616,0.484327283,60.1384,0.09704918,5.0295082,4.7782302,0.463723323,4.5028,27:05.2
207,0.09960412,5.0039588,4.862949,0.484369756,59.9598,0.136191157,7.1233698,6.7686364,0.921828425,5.205,32:35.2
208,0.09961268,5.0038732,4.8628502,0.484401541,59.7614,0.19235704,10.0764296,9.5754472,1.84190468,6.718,38:05.4
